playerID,yearID,teamID,inseason,G,W,L
orourji01,1883,BFN,1,98,52,45
burdoja01,1883,BSN,1,54,30,24
morrijo01,1883,BSN,2,44,33,11
ansonca01,1883,CHN,1,98,59,39
bancrfr99,1883,CL2,1,100,55,42
chapmja01,1883,DTN,1,101,40,58
clappjo01,1883,NY1,1,98,46,50
fergubo01,1883,PHI,1,17,4,13
purcebl01,1883,PHI,2,82,13,68
wrighha01,1883,PRO,1,98,58,40
barnibi01,1884,BL2,1,109,63,43
tayloge99,1884,BR3,1,109,40,64
schmegu99,1884,CL5,1,110,69,39
whitewi01,1884,CN2,1,72,44,27
snydepo01,1884,CN2,2,40,24,14
giffoji99,1884,IN2,1,87,25,60
watkibi01,1884,IN2,2,23,4,18
walshmi99,1884,LS2,1,110,68,40
mutriji99,1884,NY4,1,112,75,32
knighlo01,1884,PH4,1,109,61,46
mcknide99,1884,PT1,1,12,4,8
fergubo01,1884,PT1,2,42,11,31
battijo01,1884,PT1,3,13,6,7
creamge01,1884,PT1,4,8,0,8
phillho99,1884,PT1,5,35,9,24
mosesfe99,1884,RIC,1,46,12,30
williji99,1884,SL4,1,85,51,33
comisch01,1884,SL4,2,25,16,7
mortoch01,1884,TL1,1,110,46,58
holliho01,1884,WS7,1,62,12,50
bicke99,1884,WS7,2,1,0,1
orourji01,1884,BFN,1,115,64,47
morrijo01,1884,BSN,1,116,73,38
ansonca01,1884,CHN,1,113,62,50
hackech99,1884,CL2,1,113,35,77
chapmja01,1884,DTN,1,114,28,84
priceji99,1884,NY1,1,100,56,42
wardjo01,1884,NY1,2,16,6,8
wrighha01,1884,PHI,1,113,39,73
bancrfr99,1884,PRO,1,114,84,28
curtied99,1884,ALT,1,25,6,19
hendebi99,1884,BLU,1,106,58,47
murnati01,1884,BSU,1,111,58,51
hengled99,1884,CHU,1,74,34,39
battijo01,1884,CHU,2,6,1,5
ellicjo01,1884,CHU,3,13,6,6
olearda01,1884,CNU,1,35,20,15
cranesa01,1884,CNU,2,70,49,21
wheelha01,1884,KCU,1,4,0,4
portema01,1884,KCU,2,16,3,13
sullite01,1884,KCU,3,62,13,46
loftuto01,1884,MLU,1,12,8,4
malonfe01,1884,PHU,1,67,21,46
sullite01,1884,SLU,1,31,28,3
dunlafr01,1884,SLU,2,83,66,16
thompam99,1884,SPU,1,9,2,6
simmojo01,1884,WIL,1,18,2,16
scanlmi99,1884,WSU,1,114,47,65
barnibi01,1885,BL2,1,110,41,68
hackech99,1885,BR3,1,37,15,22
byrnech99,1885,BR3,2,75,38,37
cayloop99,1885,CN2,1,112,63,49
hartji99,1885,LS2,1,112,53,59
giffoji99,1885,NY4,1,108,44,64
stoveha01,1885,PH4,1,113,55,57
phillho99,1885,PT1,1,111,56,55
comisch01,1885,SL4,1,112,79,33
galvipu01,1885,BFN,1,24,7,17
chapmja01,1885,BFN,2,88,31,57
morrijo01,1885,BSN,1,113,46,66
ansonca01,1885,CHN,1,113,87,25
mortoch01,1885,DTN,1,38,7,31
watkibi01,1885,DTN,2,70,34,36
mutriji99,1885,NY1,1,112,85,27
wrighha01,1885,PHI,1,111,56,54
bancrfr99,1885,PRO,1,110,53,57
dunlafr01,1885,SL5,1,50,21,29
mckinal01,1885,SL5,2,39,6,32
dunlafr01,1885,SL5,3,22,9,11
barnibi01,1886,BL2,1,139,48,83
byrnech99,1886,BR3,1,141,76,61
cayloop99,1886,CN2,1,141,65,73
hartji99,1886,LS2,1,138,66,70
giffoji99,1886,NY4,1,17,5,12
fergubo01,1886,NY4,2,120,48,70
simmole99,1886,PH4,1,98,41,55
sharsbi99,1886,PH4,2,41,22,17
phillho99,1886,PT1,1,140,80,57
comisch01,1886,SL4,1,139,93,46
morrijo01,1886,BSN,1,118,56,61
ansonca01,1886,CHN,1,126,90,34
watkibi01,1886,DTN,1,126,87,36
roweda01,1886,KCN,1,126,30,91
mutriji99,1886,NY1,1,124,75,44
wrighha01,1886,PHI,1,119,71,43
schmegu99,1886,SL5,1,126,43,79
scanlmi99,1886,WS8,1,82,13,67
gaffnjo99,1886,WS8,2,43,15,25
barnibi01,1887,BL2,1,141,77,58
byrnech99,1887,BR3,1,138,60,74
williji99,1887,CL3,1,133,39,92
schmegu99,1887,CN2,1,136,81,54
kellyjo01,1887,LS2,1,139,76,60
fergubo01,1887,NY4,1,30,6,24
orrda01,1887,NY4,2,8,3,5
cayloop99,1887,NY4,3,100,35,60
bancrfr99,1887,PH4,1,55,26,29
masonch01,1887,PH4,2,82,38,40
comisch01,1887,SL4,1,138,95,40
kellyki01,1887,BSN,1,95,49,43
morrijo01,1887,BSN,2,32,12,17
ansonca01,1887,CHN,1,127,71,50
watkibi01,1887,DTN,1,127,79,45
burnhwa99,1887,IN3,1,28,6,22
thomafr99,1887,IN3,2,29,11,18
fogelho99,1887,IN3,3,70,20,49
mutriji99,1887,NY1,1,129,68,55
wrighha01,1887,PHI,1,128,75,48
phillho99,1887,PIT,1,125,55,69
gaffnjo99,1887,WS8,1,126,46,76
barnibi01,1888,BL2,1,139,57,80
mcgunbi01,1888,BR3,1,143,88,52
williji99,1888,CL3,1,64,20,44
loftuto01,1888,CL3,2,71,30,38
schmegu99,1888,CN2,1,137,80,54
roweda01,1888,KC2,1,50,14,36
barklsa01,1888,KC2,2,58,21,36
watkibi01,1888,KC2,3,25,8,17
kellyjo01,1888,LS2,1,39,10,29
davidmo99,1888,LS2,2,3,1,2
kerinjo01,1888,LS2,3,7,3,4
davidmo99,1888,LS2,4,90,34,52
sharsbi99,1888,PH4,1,137,81,52
comisch01,1888,SL4,1,137,92,43
morrijo01,1888,BSN,1,137,70,64
ansonca01,1888,CHN,1,136,77,58
watkibi01,1888,DTN,1,94,49,44
leadlbo99,1888,DTN,2,40,19,19
spencha99,1888,IN3,1,136,50,85
mutriji99,1888,NY1,1,138,84,47
wrighha01,1888,PHI,1,132,69,61
phillho99,1888,PIT,1,139,66,68
hewetwa99,1888,WS8,1,40,10,29
sullite01,1888,WS8,2,96,38,57
barnibi01,1889,BL2,1,139,70,65
mcgunbi01,1889,BR3,1,140,93,44
buckeal99,1889,CL6,1,140,60,78
schmegu99,1889,CN2,1,141,76,63
watkibi01,1889,KC2,1,139,55,82
esterdu01,1889,LS2,1,10,2,8
wolfji01,1889,LS2,2,65,14,51
shannda01,1889,LS2,3,58,10,46
chapmja01,1889,LS2,4,7,1,6
sharsbi99,1889,PH4,1,138,75,58
comisch01,1889,SL4,1,141,90,45
hartji99,1889,BSN,1,133,83,45
ansonca01,1889,CHN,1,136,67,65
loftuto01,1889,CL4,1,136,61,72
bancrfr99,1889,IN3,1,68,25,43
glassja01,1889,IN3,2,67,34,32
mutriji99,1889,NY1,1,131,83,43
wrighha01,1889,PHI,1,130,63,64
phillho99,1889,PIT,1,71,28,43
dunlafr01,1889,PIT,2,17,7,10
hanlone01,1889,PIT,3,46,26,18
morrijo01,1889,WS8,1,51,13,38
irwinar01,1889,WS8,2,76,28,45
barnibi01,1890,BL3,1,38,15,19
kenneji99,1890,BR4,1,100,26,73
buckeal99,1890,CL6,1,80,39,41
schmegu99,1890,CL6,2,57,38,13
sullipa99,1890,CL6,3,3,2,1
chapmja01,1890,LS2,1,136,88,44
sharsbi99,1890,PH4,1,132,54,78
powerpa99,1890,RC2,1,133,63,63
mccarto01,1890,SL4,1,22,11,11
kerinjo01,1890,SL4,2,17,9,8
rosemch01,1890,SL4,3,15,7,8
campaco01,1890,SL4,4,42,27,14
mccarto01,1890,SL4,5,5,4,1
