yearID,teamID,name,lgID,divID,G,GHome,W,L,Rank,park,attendance,BPF,PPF
1921,SLA,St. Louis Browns,AL,,154,77,81,73,3,Sportsman's Park IV,355978,106,105
1921,SLN,St. Louis Cardinals,NL,,154,78,87,66,3,Sportsman's Park IV,384773,97,96
1921,WS1,Washington Senators,AL,,154,76,80,73,4,Griffith Stadium I,456069,95,96
1922,BOS,Boston Red Sox,AL,,154,73,61,93,8,Fenway Park I,259184,99,101
1922,BRO,Brooklyn Robins,NL,,155,78,76,78,6,Ebbets Field,498865,100,100
1922,BSN,Boston Braves,NL,,154,76,53,100,8,Braves Field,167965,95,97
1922,CHA,Chicago White Sox,AL,,155,77,77,77,5,Comiskey Park,602860,99,100
1922,CHN,Chicago Cubs,NL,,156,76,80,74,5,Wrigley Field,542283,102,102
1922,CIN,Cincinnati Reds,NL,,156,79,86,68,2,Crosley Field,493754,98,97
1922,CLE,Cleveland Indians,AL,,155,80,78,76,4,League Park II,528145,102,100
1922,DET,Detroit Tigers,AL,,155,77,79,75,3,Navin Field,861206,97,96
1922,NY1,New York Giants,NL,,156,79,93,61,1,Polo Grounds IV,945809,102,98
1922,NYA,New York Yankees,AL,,154,77,94,60,1,Polo Grounds IV,1026134,102,98
1922,PHA,Philadelphia Athletics,AL,,155,78,65,89,7,Shibe Park,425356,102,105
1922,PHI,Philadelphia Phillies,NL,,154,77,57,96,7,Baker Bowl,232471,108,113
1922,PIT,Pittsburgh Pirates,NL,,155,78,85,69,3,Forbes Field,523675,102,100
1922,SLA,St. Louis Browns,AL,,154,77,93,61,2,Sportsman's Park IV,712918,104,103
1922,SLN,St. Louis Cardinals,NL,,154,77,85,69,3,Sportsman's Park IV,536998,95,94
1922,WS1,Washington Senators,AL,,154,79,69,85,6,Griffith Stadium I,458552,95,96
1923,BOS,Boston Red Sox,AL,,154,78,61,91,8,Fenway Park I,229688,100,103
1923,BRO,Brooklyn Robins,NL,,155,78,76,78,6,Ebbets Field,564666,98,97
1923,BSN,Boston Braves,NL,,155,77,54,100,7,Braves Field,227802,95,99
1923,CHA,Chicago White Sox,AL,,156,75,69,85,7,Comiskey Park,573778,99,99
1923,CHN,Chicago Cubs,NL,,154,77,83,71,4,Wrigley Field,703705,100,100
1923,CIN,Cincinnati Reds,NL,,154,78,91,63,2,Crosley Field,575063,98,97
1923,CLE,Cleveland Indians,AL,,153,78,82,71,3,League Park II,558856,100,100
1923,DET,Detroit Tigers,AL,,155,77,83,71,2,Navin Field,911377,98,97
1923,NY1,New York Giants,NL,,153,77,95,58,1,Polo Grounds IV,820780,100,96
1923,NYA,New York Yankees,AL,,152,76,98,54,1,Yankee Stadium I,1007066,103,100
1923,PHA,Philadelphia Athletics,AL,,153,75,69,83,6,Shibe Park,534122,101,103
1923,PHI,Philadelphia Phillies,NL,,155,75,50,104,8,Baker Bowl,228168,111,115
1923,PIT,Pittsburgh Pirates,NL,,154,77,87,67,3,Forbes Field,611082,102,100
1923,SLA,St. Louis Browns,AL,,154,78,74,78,5,Sportsman's Park IV,430296,106,105
1923,SLN,St. Louis Cardinals,NL,,154,78,79,74,5,Sportsman's Park IV,338551,97,97
1923,WS1,Washington Senators,AL,,155,79,75,78,4,Griffith Stadium I,357406,95,95
1924,BOS,Boston Red Sox,AL,,157,77,67,87,7,Fenway Park I,448556,99,103
1924,BRO,Brooklyn Robins,NL,,154,77,92,62,2,Ebbets Field,818883,97,97
1924,BSN,Boston Braves,NL,,154,76,53,100,8,Braves Field,177478,95,98
1924,CHA,Chicago White Sox,AL,,154,77,66,87,8,Comiskey Park,606658,97,97
1924,CHN,Chicago Cubs,NL,,154,78,81,72,5,Wrigley Field,716922,101,101
1924,CIN,Cincinnati Reds,NL,,153,76,83,70,4,Crosley Field,473707,99,97
1924,CLE,Cleveland Indians,AL,,153,75,67,86,6,League Park II,481905,102,101
1924,DET,Detroit Tigers,AL,,156,78,86,68,3,Navin Field,1015136,98,97
1924,NY1,New York Giants,NL,,154,77,93,60,1,Polo Grounds IV,844068,98,95
1924,NYA,New York Yankees,AL,,153,78,89,63,2,Yankee Stadium I,1053533,100,99
1924,PHA,Philadelphia Athletics,AL,,152,75,71,81,5,Shibe Park,531992,101,101
1924,PHI,Philadelphia Phillies,NL,,152,76,55,96,7,Baker Bowl,299818,112,115
1924,PIT,Pittsburgh Pirates,NL,,153,77,90,63,3,Forbes Field,736883,102,99
1924,SLA,St. Louis Browns,AL,,153,78,74,78,4,Sportsman's Park IV,533349,106,107
1924,SLN,St. Louis Cardinals,NL,,154,77,65,89,6,Sportsman's Park IV,272885,98,98
1924,WS1,Washington Senators,AL,,156,79,92,62,1,Griffith Stadium I,584310,98,96
1925,BOS,Boston Red Sox,AL,,152,75,47,105,8,Fenway Park I,267782,99,103
1925,BRO,Brooklyn Robins,NL,,153,77,68,85,6,Ebbets Field,659435,97,97
1925,BSN,Boston Braves,NL,,153,76,70,83,5,Braves Field,313528,91,94
1925,CHA,Chicago White Sox,AL,,154,77,79,75,5,Comiskey Park,832231,95,95
1925,CHN,Chicago Cubs,NL,,154,77,68,86,8,Wrigley Field,622610,102,102
1925,CIN,Cincinnati Reds,NL,,153,76,80,73,3,Crosley Field,464920,98,96
1925,CLE,Cleveland Indians,AL,,155,77,70,84,6,League Park II,419005,101,101
1925,DET,Detroit Tigers,AL,,156,77,81,73,4,Navin Field,820766,98,98
1925,NY1,New York Giants,NL,,152,76,86,66,2,Polo Grounds IV,778993,96,95
1925,NYA,New York Yankees,AL,,156,79,69,85,7,Yankee Stadium I,697267,98,97
1925,PHA,Philadelphia Athletics,AL,,153,77,88,64,2,Shibe Park,869703,107,106
1925,PHI,Philadelphia Phillies,NL,,153,77,68,85,6,Baker Bowl,304905,108,112
1925,PIT,Pittsburgh Pirates,NL,,153,77,95,58,1,Forbes Field,804354,106,104
1925,SLA,St. Louis Browns,AL,,154,78,82,71,3,Sportsman's Park IV,462898,105,106
1925,SLN,St. Louis Cardinals,NL,,153,76,77,76,4,Sportsman's Park IV,404959,103,102
1925,WS1,Washington Senators,AL,,152,76,96,55,1,Griffith Stadium I,817199,99,97
1926,BOS,Boston Red Sox,AL,,154,77,46,107,8,Fenway Park I,285155,96,101
1926,BRO,Brooklyn Robins,NL,,155,76,71,82,6,Ebbets Field,650819,98,100
1926,BSN,Boston Braves,NL,,153,77,66,86,7,Braves Field,303598,91,93
1926,CHA,Chicago White Sox,AL,,155,79,81,72,5,Comiskey Park,710339,97,97
1926,CHN,Chicago Cubs,NL,,155,78,82,72,4,Wrigley Field,885063,102,101
1926,CIN,Cincinnati Reds,NL,,157,77,87,67,2,Crosley Field,672987,98,97
1926,CLE,Cleveland Indians,AL,,154,80,88,66,2,League Park II,627426,101,101
1926,DET,Detroit Tigers,AL,,157,81,79,75,6,Navin Field,711914,101,100
1926,NY1,New York Giants,NL,,151,76,74,77,5,Polo Grounds IV,700362,99,98
1926,NYA,New York Yankees,AL,,155,75,91,63,1,Yankee Stadium I,1027675,99,96
1926,PHA,Philadelphia Athletics,AL,,150,71,83,67,3,Shibe Park,714508,106,104
1926,PHI,Philadelphia Phillies,NL,,152,76,58,93,8,Baker Bowl,240600,108,112
1926,PIT,Pittsburgh Pirates,NL,,157,79,84,69,3,Forbes Field,798542,105,102
1926,SLA,St. Louis Browns,AL,,155,79,62,92,7,Sportsman's Park IV,283986,105,107
1926,SLN,St. Louis Cardinals,NL,,156,79,89,65,1,Sportsman's Park IV,668428,104,103
1926,WS1,Washington Senators,AL,,152,74,81,69,4,Griffith Stadium I,551580,98,96
1927,BOS,Boston Red Sox,AL,,154,78,51,103,8,Fenway Park I,305275,98,102
1927,BRO,Brooklyn Robins,NL,,154,74,65,88,6,Ebbets Field,637230,100,100
1927,BSN,Boston Braves,NL,,155,74,60,94,7,Braves Field,288685,92,94
1927,CHA,Chicago White Sox,AL,,153,75,70,83,5,Comiskey Park,614423,98,98
1927,CHN,Chicago Cubs,NL,,153,78,85,68,4,Wrigley Field,1159168,101,99
1927,CIN,Cincinnati Reds,NL,,153,80,75,78,5,Crosley Field,442164,97,97
1927,CLE,Cleveland Indians,AL,,153,77,66,87,6,League Park II,373138,101,102
1927,DET,Detroit Tigers,AL,,156,78,82,71,4,Navin Field,773716,101,102
1927,NY1,New York Giants,NL,,155,74,92,62,3,Polo Grounds IV,858190,99,98
1927,NYA,New York Yankees,AL,,155,77,110,44,1,Yankee Stadium I,1164015,98,94
1927,PHA,Philadelphia Athletics,AL,,155,77,91,63,2,Shibe Park,605529,105,102
1927,PHI,Philadelphia Phillies,NL,,155,78,51,103,8,Baker Bowl,305420,95,99
1927,PIT,Pittsburgh Pirates,NL,,156,79,94,60,1,Forbes Field,869720,107,105
1927,SLA,St. Louis Browns,AL,,155,78,59,94,7,Sportsman's Park IV,247879,103,105
1927,SLN,St. Louis Cardinals,NL,,153,80,92,61,2,Sportsman's Park IV,749340,105,102
1927,WS1,Washington Senators,AL,,157,79,85,69,3,Griffith Stadium I,528976,99,98
1928,BOS,Boston Red Sox,AL,,154,74,57,96,8,Fenway Park I,396920,96,100
1928,BRO,Brooklyn Robins,NL,,155,77,77,76,6,Ebbets Field,664863,99,100
1928,BSN,Boston Braves,NL,,153,76,50,103,7,Braves Field,227001,94,97
1928,CHA,Chicago White Sox,AL,,155,78,72,82,5,Comiskey Park,494152,98,100
1928,CHN,Chicago Cubs,NL,,154,77,91,63,3,Wrigley Field,1143740,99,97
1928,CIN,Cincinnati Reds,NL,,153,78,78,74,5,Crosley Field,490490,98,99
1928,CLE,Cleveland Indians,AL,,155,77,62,92,7,League Park II,375907,101,102
1928,DET,Detroit Tigers,AL,,154,77,68,86,6,Navin Field,474323,102,102
1928,NY1,New York Giants,NL,,155,77,93,61,2,Polo Grounds IV,916191,100,98
1928,NYA,New York Yankees,AL,,154,77,101,53,1,Yankee Stadium I,1072132,98,94
1928,PHA,Philadelphia Athletics,AL,,153,77,98,55,2,Shibe Park,689756,103,99
1928,PHI,Philadelphia Phillies,NL,,152,75,43,109,8,Baker Bowl,182168,106,110
1928,PIT,Pittsburgh Pirates,NL,,152,77,85,67,4,Forbes Field,495070,104,102
1928,SLA,St. Louis Browns,AL,,154,77,82,72,3,Sportsman's Park IV,339497,103,104
1928,SLN,St. Louis Cardinals,NL,,154,77,95,59,1,Sportsman's Park IV,761574,103,102
1928,WS1,Washington Senators,AL,,155,80,75,79,4,Griffith Stadium I,378501,99,99
1929,BOS,Boston Red Sox,AL,,155,78,58,96,8,Fenway Park I,394620,97,100
1929,BRO,Brooklyn Robins,NL,,153,77,70,83,6,Ebbets Field,731886,98,98
1929,BSN,Boston Braves,NL,,154,77,56,98,8,Braves Field,372351,95,98
1929,CHA,Chicago White Sox,AL,,152,76,59,93,7,Comiskey Park,426795,98,100
1929,CHN,Chicago Cubs,NL,,156,78,98,54,1,Wrigley Field,1485166,100,97
1929,CIN,Cincinnati Reds,NL,,155,78,66,88,7,Crosley Field,295040,95,97
1929,CLE,Cleveland Indians,AL,,152,76,81,71,3,League Park II,536210,103,105
1929,DET,Detroit Tigers,AL,,155,77,70,84,6,Navin Field,869318,101,101
1929,NY1,New York Giants,NL,,152,77,84,67,3,Polo Grounds IV,868806,100,97
1929,NYA,New York Yankees,AL,,154,77,88,66,2,Yankee Stadium I,960148,94,92
1929,PHA,Philadelphia Athletics,AL,,151,74,104,46,1,Shibe Park,839176,104,100
1929,PHI,Philadelphia Phillies,NL,,154,76,71,82,5,Baker Bowl,281200,106,110
1929,PIT,Pittsburgh Pirates,NL,,154,76,88,65,2,Forbes Field,491377,103,102
1929,SLA,St. Louis Browns,AL,,154,77,79,73,4,Sportsman's Park IV,280697,104,104
1929,SLN,St. Louis Cardinals,NL,,154,77,78,74,4,Sportsman's Park IV,399887,103,101
1929,WS1,Washington Senators,AL,,153,78,71,81,5,Griffith Stadium I,355506,101,100
1930,BOS,Boston Red Sox,AL,,154,76,52,102,8,Fenway Park I,444045,96,99
1930,BRO,Brooklyn Robins,NL,,154,77,86,68,4,Ebbets Field,1097329,99,99
1930,BSN,Boston Braves,NL,,154,77,70,84,6,Braves Field,464835,97,99
1930,CHA,Chicago White Sox,AL,,154,78,62,92,7,Comiskey Park,406123,96,99
1930,CHN,Chicago Cubs,NL,,156,79,90,64,2,Wrigley Field,1463624,101,98
1930,CIN,Cincinnati Reds,NL,,154,77,59,95,7,Crosley Field,386727,94,97
1930,CLE,Cleveland Indians,AL,,154,77,81,73,4,League Park II,528657,103,103
1930,DET,Detroit Tigers,AL,,154,78,75,79,5,Navin Field,649450,102,104
1930,NY1,New York Giants,NL,,154,77,87,67,3,Polo Grounds IV,868714,98,95
1930,NYA,New York Yankees,AL,,154,76,86,68,3,Yankee Stadium I,1169230,96,93
1930,PHA,Philadelphia Athletics,AL,,154,76,102,52,1,Shibe Park,721663,105,101
1930,PHI,Philadelphia Phillies,NL,,156,77,52,102,8,Baker Bowl,299007,107,110
1930,PIT,Pittsburgh Pirates,NL,,154,77,80,74,5,Forbes Field,357795,100,100
1930,SLA,St. Louis Browns,AL,,154,78,64,90,6,Sportsman's Park IV,152088,103,104
1930,SLN,St. Louis Cardinals,NL,,154,77,92,62,1,Sportsman's Park IV,508501,104,102
1930,WS1,Washington Senators,AL,,154,77,94,60,2,Griffith Stadium I,614474,101,99
1931,BOS,Boston Red Sox,AL,,153,80,62,90,6,Fenway Park I,350975,94,98
1931,BRO,Brooklyn Robins,NL,,153,76,79,73,4,Ebbets Field,753133,100,99
1931,BSN,Boston Braves,NL,,156,78,64,90,7,Braves Field,515005,97,99
1931,CHA,Chicago White Sox,AL,,156,77,56,97,8,Comiskey Park,403550,94,97
1931,CHN,Chicago Cubs,NL,,156,77,84,70,3,Wrigley Field,1086422,102,100
1931,CIN,Cincinnati Reds,NL,,154,77,58,96,8,Crosley Field,263316,93,96
1931,CLE,Cleveland Indians,AL,,155,76,78,76,4,League Park II,483027,105,105
1931,DET,Detroit Tigers,AL,,154,77,61,93,7,Navin Field,434056,103,104
1931,NY1,New York Giants,NL,,153,78,87,65,2,Polo Grounds IV,812163,97,95
1931,NYA,New York Yankees,AL,,155,77,94,59,2,Yankee Stadium I,912437,95,91
1931,PHA,Philadelphia Athletics,AL,,153,75,107,45,1,Shibe Park,627464,106,103
1931,PHI,Philadelphia Phillies,NL,,155,76,66,88,6,Baker Bowl,284849,108,110
1931,PIT,Pittsburgh Pirates,NL,,155,78,75,79,5,Forbes Field,260392,98,99
1931,SLA,St. Louis Browns,AL,,154,77,63,91,5,Sportsman's Park IV,179126,103,105
1931,SLN,St. Louis Cardinals,NL,,154,78,101,53,1,Sportsman's Park IV,608535,105,103
1931,WS1,Washington Senators,AL,,156,79,92,62,3,Griffith Stadium I,492657,101,98
1932,BOS,Boston Red Sox,AL,,154,77,43,111,8,Fenway Park I,182150,95,99
1932,BRO,Brooklyn Dodgers,NL,,154,78,81,73,3,Ebbets Field,681827,98,98
1932,BSN,Boston Braves,NL,,155,77,77,77,5,Braves Field,507606,96,97
1932,CHA,Chicago White Sox,AL,,152,77,49,102,7,Comiskey Park,233198,93,96
1932,CHN,Chicago Cubs,NL,,154,77,90,64,1,Wrigley Field,974688,100,98
1932,CIN,Cincinnati Reds,NL,,155,77,60,94,8,Crosley Field,356950,96,99
1932,CLE,Cleveland Indians,AL,,153,77,87,65,4,League Park II/Cleveland Stadium,468953,109,107
1932,DET,Detroit Tigers,AL,,153,78,76,75,5,Navin Field,397157,104,105
1932,NY1,New York Giants,NL,,154,77,72,82,6,Polo Grounds IV,484868,98,96
1932,NYA,New York Yankees,AL,,156,77,107,47,1,Yankee Stadium I,962320,96,92
1932,PHA,Philadelphia Athletics,AL,,154,77,94,60,2,Shibe Park,405500,104,101
1932,PHI,Philadelphia Phillies,NL,,154,77,78,76,4,Baker Bowl,268914,112,114
1932,PIT,Pittsburgh Pirates,NL,,154,76,86,68,2,Forbes Field,287262,97,97
1932,SLA,St. Louis Browns,AL,,154,75,63,91,6,Sportsman's Park IV,112558,105,108
1932,SLN,St. Louis Cardinals,NL,,156,79,72,82,6,Sportsman's Park IV,279219,104,102
1932,WS1,Washington Senators,AL,,154,77,93,61,3,Griffith Stadium I,371396,99,96
1933,BOS,Boston Red Sox,AL,,149,72,63,86,7,Fenway Park I,268715,103,103
1933,BRO,Brooklyn Dodgers,NL,,157,80,65,88,6,Ebbets Field,526815,96,96
1933,BSN,Boston Braves,NL,,156,77,83,71,4,Braves Field,517803,92,92
1933,CHA,Chicago White Sox,AL,,151,77,67,83,6,Comiskey Park,397789,95,98
1933,CHN,Chicago Cubs,NL,,154,79,86,68,3,Wrigley Field,594112,100,99
1933,CIN,Cincinnati Reds,NL,,153,79,58,94,8,Crosley Field,218281,97,101
1933,CLE,Cleveland Indians,AL,,151,77,75,76,4,League Park II/Cleveland Stadium,387936,106,106
1933,DET,Detroit Tigers,AL,,155,78,75,79,5,Navin Field,320972,102,101
1933,NY1,New York Giants,NL,,156,77,91,61,1,Polo Grounds IV,604471,99,97
1933,NYA,New York Yankees,AL,,152,75,91,59,2,Yankee Stadium I,728014,95,91
1933,PHA,Philadelphia Athletics,AL,,152,76,79,72,3,Shibe Park,297138,101,100
1933,PHI,Philadelphia Phillies,NL,,152,72,60,92,7,Baker Bowl,156421,112,114
1933,PIT,Pittsburgh Pirates,NL,,154,77,87,67,2,Forbes Field,288747,100,99
1933,SLA,St. Louis Browns,AL,,153,77,55,96,8,Sportsman's Park IV,88113,106,108
1933,SLN,St. Louis Cardinals,NL,,154,77,82,71,5,Sportsman's Park IV,256171,106,105
1933,WS1,Washington Senators,AL,,153,76,99,53,1,Griffith Stadium I,437533,99,98
1934,BOS,Boston Red Sox,AL,,153,77,76,76,4,Fenway Park II,610640,105,105
1934,BRO,Brooklyn Dodgers,NL,,153,77,71,81,6,Ebbets Field,434188,95,96
1934,BSN,Boston Braves,NL,,152,75,78,73,4,Braves Field,303205,92,94
1934,CHA,Chicago White Sox,AL,,153,75,53,99,8,Comiskey Park,236559,103,105
1934,CHN,Chicago Cubs,NL,,152,77,86,65,3,Wrigley Field,707525,99,96
1934,CIN,Cincinnati Reds,NL,,152,78,52,99,8,Crosley Field,206773,96,100
1934,CLE,Cleveland Indians,AL,,154,78,85,69,3,League Park II/Cleveland Stadium,391338,101,100
1934,DET,Detroit Tigers,AL,,154,80,101,53,1,Navin Field,919161,100,98
1934,NY1,New York Giants,NL,,153,75,93,60,2,Polo Grounds IV,730851,98,96
1934,NYA,New York Yankees,AL,,154,77,94,60,2,Yankee Stadium I,854682,94,91
1934,PHA,Philadelphia Athletics,AL,,153,76,68,82,5,Shibe Park,305847,96,98
1934,PHI,Philadelphia Phillies,NL,,149,71,56,93,7,Baker Bowl,169885,113,116
1934,PIT,Pittsburgh Pirates,NL,,151,78,74,76,5,Forbes Field,322622,103,102
1934,SLA,St. Louis Browns,AL,,154,76,67,85,6,Sportsman's Park IV,115305,107,110
1934,SLN,St. Louis Cardinals,NL,,154,77,95,58,1,Sportsman's Park IV,325056,107,104
1934,WS1,Washington Senators,AL,,155,76,66,86,7,Griffith Stadium I,330074,96,96
1935,BOS,Boston Red Sox,AL,,154,79,78,75,4,Fenway Park II,558568,107,106
1935,BRO,Brooklyn Dodgers,NL,,154,77,70,83,5,Ebbets Field,470517,98,99
1935,BSN,Boston Braves,NL,,153,75,38,115,8,Braves Field,232754,92,94
1935,CHA,Chicago White Sox,AL,,153,77,74,78,5,Comiskey Park,470281,102,103
1935,CHN,Chicago Cubs,NL,,154,77,100,54,1,Wrigley Field,692604,101,98
1935,CIN,Cincinnati Reds,NL,,154,76,68,85,6,Crosley Field,448247,96,98
1935,CLE,Cleveland Indians,AL,,156,77,82,71,3,League Park II/Cleveland Stadium,397615,102,102
1935,DET,Detroit Tigers,AL,,152,79,93,58,1,Navin Field,1034929,96,93
1935,NY1,New York Giants,NL,,156,79,91,62,3,Polo Grounds IV,748748,99,96
1935,NYA,New York Yankees,AL,,149,74,89,60,2,Yankee Stadium I,657508,95,91
1935,PHA,Philadelphia Athletics,AL,,149,72,58,91,8,Shibe Park,233173,99,102
1935,PHI,Philadelphia Phillies,NL,,156,79,64,89,7,Baker Bowl,205470,110,113
1935,PIT,Pittsburgh Pirates,NL,,153,77,86,67,4,Forbes Field,352885,103,102
1935,SLA,St. Louis Browns,AL,,155,76,65,87,7,Sportsman's Park IV,80922,104,107
1935,SLN,St. Louis Cardinals,NL,,154,77,96,58,2,Sportsman's Park IV,506084,104,102
1935,WS1,Washington Senators,AL,,154,77,67,86,6,Griffith Stadium I,255011,97,98
1936,BOS,Boston Red Sox,AL,,155,77,74,80,6,Fenway Park II,626895,106,106
1936,BRO,Brooklyn Dodgers,NL,,156,79,67,87,7,Ebbets Field,489618,101,103
1936,BSN,Boston Bees,NL,,157,79,71,83,6,Braves Field,340585,93,95
1936,CHA,Chicago White Sox,AL,,153,75,81,70,4,Comiskey Park,440810,104,103
1936,CHN,Chicago Cubs,NL,,154,77,87,67,2,Wrigley Field,699370,103,99
1936,CIN,Cincinnati Reds,NL,,154,76,74,80,5,Crosley Field,466345,93,95
1936,CLE,Cleveland Indians,AL,,157,81,80,74,5,League Park II/Cleveland Stadium,500391,103,102
1936,DET,Detroit Tigers,AL,,154,77,83,71,2,Navin Field,875948,100,98
1936,NY1,New York Giants,NL,,154,78,92,62,1,Polo Grounds IV,837952,100,97
1936,NYA,New York Yankees,AL,,155,77,102,51,1,Yankee Stadium I,976913,97,93
1936,PHA,Philadelphia Athletics,AL,,154,77,53,100,8,Shibe Park,285173,97,101
1936,PHI,Philadelphia Phillies,NL,,154,78,54,100,8,Baker Bowl,249219,111,114
1936,PIT,Pittsburgh Pirates,NL,,156,76,84,70,4,Forbes Field,372524,102,101
1936,SLA,St. Louis Browns,AL,,155,77,57,95,7,Sportsman's Park IV,93267,102,106
1936,SLN,St. Louis Cardinals,NL,,155,77,87,67,2,Sportsman's Park IV,448078,99,98
1936,WS1,Washington Senators,AL,,153,77,82,71,3,Griffith Stadium I,379525,94,95
1937,BOS,Boston Red Sox,AL,,154,74,80,72,5,Fenway Park II,559659,104,103
1937,BRO,Brooklyn Dodgers,NL,,155,76,62,91,6,Ebbets Field,482481,102,104
1937,BSN,Boston Bees,NL,,152,76,79,73,5,Braves Field,385339,91,91
1937,CHA,Chicago White Sox,AL,,154,77,86,68,3,Comiskey Park,589245,100,100
1937,CHN,Chicago Cubs,NL,,154,78,93,61,2,Wrigley Field,895020,104,102
1937,CIN,Cincinnati Reds,NL,,155,80,56,98,8,Crosley Field,411221,95,95
1937,CLE,Cleveland Indians,AL,,156,78,83,71,4,League Park II/Cleveland Stadium,564849,98,97
1937,DET,Detroit Tigers,AL,,155,77,89,65,2,Navin Field,1072276,102,101
1937,NY1,New York Giants,NL,,152,75,95,57,1,Polo Grounds IV,926887,102,100
1937,NYA,New York Yankees,AL,,157,79,102,52,1,Yankee Stadium I,998148,102,97
1937,PHA,Philadelphia Athletics,AL,,154,79,54,97,7,Shibe Park,430738,98,101
1937,PHI,Philadelphia Phillies,NL,,155,74,61,92,7,Baker Bowl,212790,109,112
1937,PIT,Pittsburgh Pirates,NL,,154,78,86,68,3,Forbes Field,459679,100,98
1937,SLA,St. Louis Browns,AL,,156,78,46,108,8,Sportsman's Park IV,123121,100,104
1937,SLN,St. Louis Cardinals,NL,,157,80,81,73,4,Sportsman's Park IV,430811,102,101
1937,WS1,Washington Senators,AL,,158,80,73,80,6,Griffith Stadium I,397799,95,96
1938,BOS,Boston Red Sox,AL,,150,75,88,61,2,Fenway Park II,646459,105,103
1938,BRO,Brooklyn Dodgers,NL,,151,74,69,80,7,Ebbets Field,663087,103,104
1938,BSN,Boston Bees,NL,,153,75,77,75,5,Braves Field,341149,89,90
1938,CHA,Chicago White Sox,AL,,149,73,65,83,6,Comiskey Park,338278,103,103
1938,CHN,Chicago Cubs,NL,,154,77,89,63,1,Wrigley Field,951640,103,101
1938,CIN,Cincinnati Reds,NL,,151,77,82,68,4,Crosley Field,706756,98,97
1938,CLE,Cleveland Indians,AL,,153,76,86,66,3,League Park II/Cleveland Stadium,652006,98,97
1938,DET,Detroit Tigers,AL,,155,79,84,70,4,Briggs Stadium,799557,107,106
1938,NY1,New York Giants,NL,,152,73,83,67,3,Polo Grounds IV,799633,101,100
1938,NYA,New York Yankees,AL,,157,79,99,53,1,Yankee Stadium I,970916,100,95
1938,PHA,Philadelphia Athletics,AL,,154,76,53,99,8,Shibe Park,385357,96,100
1938,PHI,Philadelphia Phillies,NL,,151,75,45,105,8,Baker Bowl/Shibe Park,166111,99,105
1938,PIT,Pittsburgh Pirates,NL,,152,78,86,64,2,Forbes Field,641033,100,100
1938,SLA,St. Louis Browns,AL,,156,77,55,97,7,Sportsman's Park IV,130417,99,104
1938,SLN,St. Louis Cardinals,NL,,156,81,71,80,6,Sportsman's Park IV,291418,105,104
1938,WS1,Washington Senators,AL,,152,78,75,76,5,Griffith Stadium I,522694,93,94
1939,BOS,Boston Red Sox,AL,,152,75,89,62,2,Fenway Park II,573070,104,102
1939,BRO,Brooklyn Dodgers,NL,,157,78,84,69,3,Ebbets Field,955668,105,104
1939,BSN,Boston Bees,NL,,152,73,63,88,7,Braves Field,285994,92,94
1939,CHA,Chicago White Sox,AL,,155,77,85,69,4,Comiskey Park,594104,103,103
1939,CHN,Chicago Cubs,NL,,156,80,84,70,4,Wrigley Field,726663,102,100
1939,CIN,Cincinnati Reds,NL,,156,81,97,57,1,Crosley Field,981443,102,99
1939,CLE,Cleveland Indians,AL,,154,77,87,67,3,League Park II/Cleveland Stadium,563926,97,96
1939,DET,Detroit Tigers,AL,,155,78,81,73,5,Briggs Stadium,836279,107,106
1939,NY1,New York Giants,NL,,151,74,77,74,5,Polo Grounds IV,702457,101,101
1939,NYA,New York Yankees,AL,,152,77,106,45,1,Yankee Stadium I,859785,99,95
1939,PHA,Philadelphia Athletics,AL,,153,76,55,97,7,Shibe Park,395022,97,101
1939,PHI,Philadelphia Phillies,NL,,152,74,45,106,8,Shibe Park,277973,94,100
1939,PIT,Pittsburgh Pirates,NL,,153,77,68,85,6,Forbes Field,376734,98,98
1939,SLA,St. Louis Browns,AL,,156,78,43,111,8,Sportsman's Park IV,109159,102,105
1939,SLN,St. Louis Cardinals,NL,,155,79,92,61,2,Sportsman's Park IV,400245,106,105
1939,WS1,Washington Senators,AL,,153,77,65,87,6,Griffith Stadium I,339257,92,94
1940,BOS,Boston Red Sox,AL,,154,79,82,72,4,Fenway Park II,716234,104,102
1940,BRO,Brooklyn Dodgers,NL,,156,81,88,65,2,Ebbets Field,975978,108,105
1940,BSN,Boston Bees,NL,,152,75,65,87,7,Braves Field,241616,94,96
1940,CHA,Chicago White Sox,AL,,155,78,82,72,4,Comiskey Park,660336,102,101
1940,CHN,Chicago Cubs,NL,,154,77,75,79,5,Wrigley Field,534878,98,97
1940,CIN,Cincinnati Reds,NL,,155,77,100,53,1,Crosley Field,850180,102,99
1940,CLE,Cleveland Indians,AL,,155,82,89,65,2,League Park II/Cleveland Stadium,902576,98,97
1940,DET,Detroit Tigers,AL,,155,79,90,64,1,Briggs Stadium,1112693,109,108
1940,NY1,New York Giants,NL,,152,76,72,80,6,Polo Grounds IV,747852,101,101
1940,NYA,New York Yankees,AL,,155,76,88,66,3,Yankee Stadium I,988975,96,92
1940,PHA,Philadelphia Athletics,AL,,154,71,54,100,8,Shibe Park,432145,97,101
1940,PHI,Philadelphia Phillies,NL,,153,79,50,103,8,Shibe Park,207177,95,101
1940,PIT,Pittsburgh Pirates,NL,,156,75,78,76,4,Forbes Field,507934,99,99
1940,SLA,St. Louis Browns,AL,,156,77,67,87,6,Sportsman's Park IV,239591,102,105
