yearID,teamID,name,lgID,divID,G,GHome,W,L,Rank,park,attendance,BPF,PPF
1878,PRO,Providence Grays,NL,,62,,33,27,3,Messer Street Grounds,,100,96
1879,BFN,Buffalo Bisons,NL,,79,,46,32,3,Riverside Park,,102,105
1879,BSN,Boston Red Caps,NL,,84,,54,30,2,South End Grounds I,,102,100
1879,CHN,Chicago White Stockings,NL,,83,,46,33,4,Lake Front Park I,,106,103
1879,CL2,Cleveland Blues,NL,,82,,27,55,6,Kennard Street Park,,99,100
1879,CN1,Cincinnati Reds,NL,,81,,43,37,5,Avenue Grounds,,95,94
1879,PRO,Providence Grays,NL,,85,,59,25,1,Messer Street Grounds,,99,95
1879,SR1,Syracuse Stars,NL,,71,,22,48,7,Newell Park,,89,95
1879,TRN,Troy Trojans,NL,,77,,19,56,8,Putnam Grounds,,93,100
1880,BFN,Buffalo Bisons,NL,,85,,24,58,7,Riverside Park,,102,103
1880,BSN,Boston Red Caps,NL,,86,,40,44,6,South End Grounds I,,97,96
1880,CHN,Chicago White Stockings,NL,,86,,67,17,1,Lake Front Park I,,106,102
1880,CL2,Cleveland Blues,NL,,85,,47,37,3,Kennard Street Park,,98,99
1880,CN1,Cincinnati Reds,NL,,83,,21,59,8,Bank Street Grounds,,98,104
1880,PRO,Providence Grays,NL,,87,,52,32,2,Messer Street Grounds,,97,93
1880,TRN,Troy Trojans,NL,,83,,41,42,4,Haymakers' Grounds,,105,106
1880,WOR,Worcester Ruby Legs,NL,,85,,40,43,5,Worcester Driving Park Grounds,,108,109
1881,BFN,Buffalo Bisons,NL,,83,,45,38,3,Riverside Park,,99,100
1881,BSN,Boston Red Caps,NL,,83,,38,45,6,South End Grounds I,,96,96
1881,CHN,Chicago White Stockings,NL,,84,,56,28,1,Lake Front Park I,,105,99
1881,CL2,Cleveland Blues,NL,,85,,36,48,7,Kennard Street Park,,95,95
1881,DTN,Detroit Wolverines,NL,,84,,41,43,4,Recreation Park,,104,105
1881,PRO,Providence Grays,NL,,85,,47,37,2,Messer Street Grounds,,98,96
1881,TRN,Troy Trojans,NL,,85,,39,45,5,Haymakers' Grounds,,105,106
1881,WOR,Worcester Ruby Legs,NL,,83,,32,50,8,Worcester Driving Park Grounds,,105,108
1882,BFN,Buffalo Bisons,NL,,84,,45,39,3,Riverside Park,,102,101
1882,BL2,Baltimore Orioles,AA,,74,,19,54,6,Newington Park,,90,100
1882,BSN,Boston Red Caps,NL,,85,,45,39,3,South End Grounds I,,100,98
1882,CHN,Chicago White Stockings,NL,,84,,55,29,1,Lake Front Park I/Lake Front Park II,,105,99
1882,CL2,Cleveland Blues,NL,,84,,42,40,5,Kennard Street Park,,97,97
1882,CN2,Cincinnati Red Stockings,AA,,80,,55,25,1,Bank Street Grounds,,106,99
1882,DTN,Detroit Wolverines,NL,,86,,42,41,5,Recreation Park,,100,101
1882,LS2,Louisville Eclipse,AA,,79,,42,38,2,Eclipse Park I,,95,93
1882,PH4,Philadelphia Athletics,AA,,75,,41,34,3,Oakdale Park,,110,110
1882,PRO,Providence Grays,NL,,84,,52,32,2,Messer Street Grounds,,100,98
1882,PT1,Pittsburg Alleghenys,AA,,79,,39,39,4,Exposition Park I,,100,99
1882,SL4,St. Louis Brown Stockings,AA,,79,,37,43,5,Sportsman's Park I,,104,104
1882,TRN,Troy Trojans,NL,,85,,35,48,7,Troy Ball Club Grounds,,95,98
1882,WOR,Worcester Ruby Legs,NL,,84,,18,66,8,Worcester Driving Park Grounds,,102,107
1883,BFN,Buffalo Bisons,NL,,98,,52,45,5,Riverside Park,,102,101
1883,BL2,Baltimore Orioles,AA,,96,,28,68,8,Oriole Park,,103,105
1883,BSN,Boston Beaneaters,NL,,98,,63,35,1,South End Grounds I,,102,98
1883,CHN,Chicago White Stockings,NL,,98,,59,39,2,Lake Front Park II,,108,105
1883,CL2,Cleveland Blues,NL,,100,,55,42,4,Kennard Street Park,,99,100
1883,CL5,Columbus Buckeyes,AA,,97,,32,65,6,Recreation Park I,,92,93
1883,CN2,Cincinnati Red Stockings,AA,,98,,61,37,3,Bank Street Grounds,,106,99
1883,DTN,Detroit Wolverines,NL,,101,,40,58,7,Recreation Park,,95,99
1883,LS2,Louisville Eclipse,AA,,98,,52,45,5,Eclipse Park I,,93,91
1883,NY1,New York Gothams,NL,,98,,46,50,6,Polo Grounds I,,99,99
1883,NY4,New York Metropolitans,AA,,97,,54,42,4,Polo Grounds I West Diamond,,109,106
1883,PH4,Philadelphia Athletics,AA,,98,,66,32,1,Jefferson Street Grounds,,108,105
1883,PHI,Philadelphia Quakers,NL,,99,,17,81,8,Recreation Park,,91,98
1883,PRO,Providence Grays,NL,,98,,58,40,3,Messer Street Grounds,,103,99
1883,PT1,Pittsburg Alleghenys,AA,,98,,31,67,7,Exposition Park I,,94,98
1883,SL4,St. Louis Browns,AA,,98,,65,33,2,Sportsman's Park I,,106,106
1884,ALT,Altoona Mountain City,UA,,25,,6,19,10,,,101,109
1884,BFN,Buffalo Bisons,NL,,114,,64,47,3,Olympic Park I,,103,105
1884,BL2,Baltimore Orioles,AA,,108,,63,43,6,Oriole Park,,104,107
1884,BLU,Baltimore Monumentals,UA,,105,,58,47,4,,,109,109
1884,BR3,Brooklyn Atlantics,AA,,109,,40,64,9,Washington Park I,,100,102
1884,BSN,Boston Beaneaters,NL,,116,,73,38,2,South End Grounds I,,99,97
1884,BSU,Boston Reds,UA,,109,,58,51,5,,,99,98
1884,CHN,Chicago White Stockings,NL,,112,,62,50,5,Lake Front Park II,,108,105
1884,CHU,Chicago/Pittsburgh (Union League),UA,,92,,41,50,6,,,98,99
1884,CL2,Cleveland Blues,NL,,113,,35,77,7,Kennard Street Park,,103,106
1884,CL5,Columbus Buckeyes,AA,,110,,69,39,2,Recreation Park I,,92,93
1884,CN2,Cincinnati Red Stockings,AA,,112,,68,41,5,League Park I in Cincinnati,,104,102
1884,CNU,Cincinnati Outlaw Reds,UA,,103,,69,36,3,,,111,107
1884,DTN,Detroit Wolverines,NL,,114,,28,84,8,Recreation Park,,94,97
1884,IN2,Indianapolis Hoosiers,AA,,110,,29,78,12,Seventh Street Park,,97,100
1884,KCU,Kansas City Cowboys,UA,,82,,16,63,11,,,87,92
1884,LS2,Louisville Eclipse,AA,,110,,68,40,3,Eclipse Park I,,95,95
1884,MLU,Milwaukee Brewers,UA,,12,,8,4,2,,,60,60
1884,NY1,New York Gothams,NL,,116,,62,50,4,Polo Grounds I,,105,102
1884,NY4,New York Metropolitans,AA,,112,,75,32,1,Polo Grounds I West Diamond,,100,96
1884,PH4,Philadelphia Athletics,AA,,108,,61,46,7,Jefferson Street Grounds,,107,104
1884,PHI,Philadelphia Quakers,NL,,113,,39,73,6,Recreation Park,,94,99
1884,PHU,Philadelphia Keystones,UA,,67,,21,46,8,,,91,94
1884,PRO,Providence Grays,NL,,114,,84,28,1,Messer Street Grounds,,99,96
1884,PT1,Pittsburg Alleghenys,AA,,110,,30,78,11,Recreation Park,,97,101
1884,RIC,Richmond Virginians,AA,,45,,12,30,10,Allen Pasture,,99,102
1884,SL4,St. Louis Browns,AA,,110,,67,40,4,Sportsman's Park I,,104,101
1884,SLU,St. Louis Maroons,UA,,113,,94,19,1,,,99,98
1884,SPU,St. Paul White Caps,UA,,9,,2,6,9,,,60,60
1884,TL1,Toledo Blue Stockings,AA,,109,,46,58,8,League Park,,103,105
1884,WIL,Wilmington Quicksteps,UA,,17,,2,16,12,,,103,109
1884,WS7,Washington Nationals,AA,,63,,12,51,13,Athletic Park,,88,93
1884,WSU,Washington Nationals,UA,,112,,47,65,7,,,96,98
1885,BFN,Buffalo Bisons,NL,,112,,38,74,7,Olympic Park I,,103,105
1885,BL2,Baltimore Orioles,AA,,110,,41,68,8,Oriole Park,,99,100
1885,BR3,Brooklyn Grays,AA,,112,,53,59,5,Washington Park I,,100,102
1885,BSN,Boston Beaneaters,NL,,113,,46,66,5,South End Grounds I,,96,95
1885,CHN,Chicago White Stockings,NL,,113,,87,25,1,West Side Park I,,114,107
1885,CN2,Cincinnati Red Stockings,AA,,112,,63,49,2,League Park I in Cincinnati,,102,100
1885,DTN,Detroit Wolverines,NL,,108,,41,67,6,Recreation Park,,100,101
1885,LS2,Louisville Colonels,AA,,112,,53,59,6,Eclipse Park I,,100,100
1885,NY1,New York Giants,NL,,112,,85,27,2,Polo Grounds I,,101,97
1885,NY4,New York Metropolitans,AA,,108,,44,64,7,Polo Grounds I West Diamond,,84,86
1885,PH4,Philadelphia Athletics,AA,,113,,55,57,4,Jefferson Street Grounds,,106,106
1885,PHI,Philadelphia Quakers,NL,,111,,56,54,3,Recreation Park,,97,98
1885,PRO,Providence Grays,NL,,110,,53,57,4,Messer Street Grounds,,97,95
1885,PT1,Pittsburg Alleghenys,AA,,111,,56,55,3,Recreation Park,,100,99
1885,SL4,St. Louis Browns,AA,,112,,79,33,1,Sportsman's Park I,,105,101
1885,SL5,St. Louis Maroons,NL,,111,,36,72,8,Sportsman's Park I,,97,98
1886,BL2,Baltimore Orioles,AA,,139,,48,83,8,Oriole Park,,98,99
1886,BR3,Brooklyn Grays,AA,,141,,76,61,3,Washington Park I,,100,100
1886,BSN,Boston Beaneaters,NL,,118,,56,61,5,South End Grounds I,,97,97
1886,CHN,Chicago White Stockings,NL,,126,,90,34,1,West Side Park I,,114,109
1886,CN2,Cincinnati Red Stockings,AA,,141,,65,73,5,League Park I in Cincinnati,,103,102
1886,DTN,Detroit Wolverines,NL,,126,,87,36,2,Recreation Park,,103,100
1886,KCN,Kansas City Cowboys,NL,,123,,30,91,7,Association Park,,106,114
1886,LS2,Louisville Colonels,AA,,138,,66,70,4,Eclipse Park I,,106,106
1886,NY1,New York Giants,NL,,124,,75,44,3,Polo Grounds I,,103,99
1886,NY4,New York Metropolitans,AA,,137,,53,82,7,St. George Cricket Grounds,,96,100
1886,PH4,Philadelphia Athletics,AA,,139,,63,72,6,Jefferson Street Grounds,,101,102
1886,PHI,Philadelphia Quakers,NL,,119,,71,43,4,Recreation Park,,100,99
1886,PT1,Pittsburg Alleghenys,AA,,140,,80,57,2,Recreation Park,,98,97
1886,SL4,St. Louis Browns,AA,,139,,93,46,1,Sportsman's Park I,,105,100
